Date,Investment
2014-10-01,30000
2014-11-03,30000
2014-12-01,30000
2015-01-02,30000
2015-02-02,30000
2015-03-02,30000
2015-04-01,30000
2015-05-04,30000
2015-06-01,30000
2015-07-01,30000
2015-08-03,30000
2015-09-01,30000
2015-10-01,30000
2015-11-02,30000
2015-12-01,30000
2016-01-04,30000
2016-02-01,30000
2016-03-01,30000
2016-04-01,30000
2016-05-02,30000
2016-06-01,30000
2016-07-01,30000
2016-08-01,30000
2016-09-01,30000
2016-10-03,30000
2016-11-01,30000
2016-12-01,30000
2017-01-02,30000
2017-02-01,30000
2017-03-01,30000
2017-04-03,30000
2017-05-02,30000
2017-06-01,30000
2017-07-03,30000
2017-08-01,30000
2017-09-01,30000
2017-10-03,30000
2017-11-01,30000
2017-12-01,30000
2018-01-01,30000
2018-02-01,30000
2018-03-01,30000
2018-04-02,30000
2018-05-02,30000
2018-06-01,30000
2018-07-02,30000
2018-08-01,30000
2018-09-03,30000
2018-10-01,30000
2018-11-01,30000
2018-12-03,30000
2019-01-02,30000
2019-02-01,30000
2019-03-01,30000
2019-04-01,30000
2019-05-02,30000
2019-06-03,30000
2019-07-01,30000
2019-08-01,30000
2019-09-03,30000
2019-10-01,30000
2019-11-01,30000
2019-12-02,30000
2020-01-02,30000
2020-02-03,30000
2020-03-02,30000
2020-04-01,30000
2020-05-04,30000
2020-06-01,30000
2020-07-01,30000
2020-08-03,30000
2020-09-01,30000
2020-10-01,30000
2020-11-02,30000
2020-12-01,30000
2021-01-01,30000
2021-02-01,30000
2021-03-01,30000
2021-04-01,30000
2021-05-03,30000
2021-06-01,30000
2021-07-01,30000
2021-08-02,30000
2021-09-01,30000
2021-10-01,30000
2021-11-01,30000
2021-12-01,30000
2022-01-03,30000
2022-02-01,30000
2022-03-02,30000
2022-04-01,30000
2022-05-02,30000
2022-06-01,30000
2022-07-01,30000
2022-08-01,30000
2022-09-01,30000
2022-10-03,30000
2022-11-01,30000
2022-12-01,30000
2023-01-02,30000
2023-02-01,30000
2023-03-01,30000
2023-04-03,30000
2023-05-02,30000
2023-06-01,30000
2023-07-03,30000
2023-08-01,30000
2023-09-01,30000
2023-10-03,30000
2023-11-01,30000
2023-12-01,30000
2024-01-02,30000
2024-02-01,30000
2024-03-01,30000
2024-04-01,30000
2024-05-02,30000
2024-06-03,30000
2024-07-01,30000
2024-08-01,30000
2024-09-02,30000
