Date,Investment
2014-10-22,30000
2014-11-22,30000
2014-12-22,30000
2015-01-22,30000
2015-02-22,30000
2015-03-22,30000
2015-04-22,30000
2015-05-22,30000
2015-06-22,30000
2015-07-22,30000
2015-08-22,30000
2015-09-22,30000
2015-10-22,30000
2015-11-22,30000
2015-12-22,30000
2016-01-22,30000
2016-02-22,30000
2016-03-22,30000
2016-04-22,30000
2016-05-22,30000
2016-06-22,30000
2016-07-22,30000
2016-08-22,30000
2016-09-22,30000
2016-10-22,30000
2016-11-22,30000
2016-12-22,30000
2017-01-22,30000
2017-02-22,30000
2017-03-22,30000
2017-04-22,30000
2017-05-22,30000
2017-06-22,30000
2017-07-22,30000
2017-08-22,30000
2017-09-22,30000
2017-10-22,30000
2017-11-22,30000
2017-12-22,30000
2018-01-22,30000
2018-02-22,30000
2018-03-22,30000
2018-04-22,30000
2018-05-22,30000
2018-06-22,30000
2018-07-22,30000
2018-08-22,30000
2018-09-22,30000
2018-10-22,30000
2018-11-22,30000
2018-12-22,30000
2019-01-22,30000
2019-02-22,30000
2019-03-22,30000
2019-04-22,30000
2019-05-22,30000
2019-06-22,30000
2019-07-22,30000
2019-08-22,30000
2019-09-22,30000
2019-10-22,30000
2019-11-22,30000
2019-12-22,30000
2020-01-22,30000
2020-02-22,30000
2020-03-22,30000
2020-04-22,30000
2020-05-22,30000
2020-06-22,30000
2020-07-22,30000
2020-08-22,30000
2020-09-22,30000
2020-10-22,30000
2020-11-22,30000
2020-12-22,30000
2021-01-22,30000
2021-02-22,30000
2021-03-22,30000
2021-04-22,30000
2021-05-22,30000
2021-06-22,30000
2021-07-22,30000
2021-08-22,30000
2021-09-22,30000
2021-10-22,30000
2021-11-22,30000
2021-12-22,30000
2022-01-22,30000
2022-02-22,30000
2022-03-22,30000
2022-04-22,30000
2022-05-22,30000
2022-06-22,30000
2022-07-22,30000
2022-08-22,30000
2022-09-22,30000
2022-10-22,30000
2022-11-22,30000
2022-12-22,30000
2023-01-22,30000
2023-02-22,30000
2023-03-22,30000
2023-04-22,30000
2023-05-22,30000
2023-06-22,30000
2023-07-22,30000
2023-08-22,30000
2023-09-22,30000
2023-10-22,30000
2023-11-22,30000
2023-12-22,30000
2024-01-22,30000
2024-02-22,30000
2024-03-22,30000
2024-04-22,30000
2024-05-22,30000
2024-06-22,30000
2024-07-22,30000
2024-08-22,30000
2024-09-22,30000
