File,Total Invested,Acquired Value
Daily Investment,3599999.999999977,7577566.65265604
monthly_on_8_investment_schedule_with_units,3570000.0,7344796.94662874
monthly_on_3_investment_schedule_with_units,3600000.0,7713583.130581702
monthly_on_28_investment_schedule_with_units,3570000.0,7581563.328896962
monthly_on_23_investment_schedule_with_units,3570000.0,7548975.807383993
monthly_on_15_investment_schedule_with_units,3570000.0,7483754.590683008
monthly_on_18_investment_schedule_with_units,3570000.0,7474580.892125632
monthly_on_13_investment_schedule_with_units,3570000.0,7343732.446953621
monthly_on_25_investment_schedule_with_units,3570000.0,7597997.968556548
monthly_on_5_investment_schedule_with_units,3600000.0,7677165.652481685
monthly_on_9_investment_schedule_with_units,3570000.0,7410648.400440844
monthly_on_2_investment_schedule_with_units,3600000.0,7714626.222324802
monthly_on_22_investment_schedule_with_units,3570000.0,7547652.286251943
monthly_on_14_investment_schedule_with_units,3570000.0,7362894.813242911
monthly_on_19_investment_schedule_with_units,3570000.0,7479698.863179112
monthly_on_12_investment_schedule_with_units,3570000.0,7422711.129837938
monthly_on_24_investment_schedule_with_units,3570000.0,7611503.1318038255
monthly_on_4_investment_schedule_with_units,3600000.0,7690301.427440494
monthly_on_1_investment_schedule_with_units,3600000.0,7715665.171718963
monthly_on_21_investment_schedule_with_units,3570000.0,7529557.283969807
monthly_on_17_investment_schedule_with_units,3570000.0,7471596.452302402
monthly_on_11_investment_schedule_with_units,3570000.0,7422787.233209155
monthly_on_27_investment_schedule_with_units,3570000.0,7577483.115312533
monthly_on_7_investment_schedule_with_units,3570000.0,7405111.275801461
monthly_on_20_investment_schedule_with_units,3570000.0,7504677.852534186
monthly_on_16_investment_schedule_with_units,3570000.0,7481471.3887567585
monthly_on_10_investment_schedule_with_units,3570000.0,7410264.869338988
monthly_on_26_investment_schedule_with_units,3570000.0,7590140.542047537
monthly_on_6_investment_schedule_with_units,3600000.0,7592133.62668641
