Date,Investment
2014-10-16,30000
2014-11-17,30000
2014-12-15,30000
2015-01-15,30000
2015-02-16,30000
2015-03-16,30000
2015-04-15,30000
2015-05-15,30000
2015-06-15,30000
2015-07-15,30000
2015-08-17,30000
2015-09-15,30000
2015-10-15,30000
2015-11-16,30000
2015-12-15,30000
2016-01-15,30000
2016-02-15,30000
2016-03-15,30000
2016-04-18,30000
2016-05-16,30000
2016-06-15,30000
2016-07-15,30000
2016-08-16,30000
2016-09-15,30000
2016-10-17,30000
2016-11-15,30000
2016-12-15,30000
2017-01-16,30000
2017-02-15,30000
2017-03-15,30000
2017-04-17,30000
2017-05-15,30000
2017-06-15,30000
2017-07-17,30000
2017-08-16,30000
2017-09-15,30000
2017-10-16,30000
2017-11-15,30000
2017-12-15,30000
2018-01-15,30000
2018-02-15,30000
2018-03-15,30000
2018-04-16,30000
2018-05-15,30000
2018-06-15,30000
2018-07-16,30000
2018-08-16,30000
2018-09-17,30000
2018-10-15,30000
2018-11-15,30000
2018-12-17,30000
2019-01-15,30000
2019-02-15,30000
2019-03-15,30000
2019-04-15,30000
2019-05-15,30000
2019-06-17,30000
2019-07-15,30000
2019-08-16,30000
2019-09-16,30000
2019-10-15,30000
2019-11-15,30000
2019-12-16,30000
2020-01-15,30000
2020-02-17,30000
2020-03-16,30000
2020-04-15,30000
2020-05-15,30000
2020-06-15,30000
2020-07-15,30000
2020-08-17,30000
2020-09-15,30000
2020-10-15,30000
2020-11-17,30000
2020-12-15,30000
2021-01-15,30000
2021-02-15,30000
2021-03-15,30000
2021-04-15,30000
2021-05-17,30000
2021-06-15,30000
2021-07-15,30000
2021-08-16,30000
2021-09-15,30000
2021-10-18,30000
2021-11-15,30000
2021-12-15,30000
2022-01-17,30000
2022-02-15,30000
2022-03-15,30000
2022-04-18,30000
2022-05-16,30000
2022-06-15,30000
2022-07-15,30000
2022-08-16,30000
2022-09-15,30000
2022-10-17,30000
2022-11-15,30000
2022-12-15,30000
2023-01-16,30000
2023-02-15,30000
2023-03-15,30000
2023-04-17,30000
2023-05-15,30000
2023-06-15,30000
2023-07-17,30000
2023-08-16,30000
2023-09-15,30000
2023-10-16,30000
2023-11-15,30000
2023-12-15,30000
2024-01-15,30000
2024-02-15,30000
2024-03-15,30000
2024-04-15,30000
2024-05-15,30000
2024-06-18,30000
2024-07-15,30000
2024-08-16,30000
,30000
