Date,Investment
2014-10-27,30000
2014-11-25,30000
2014-12-30,30000
2015-01-27,30000
2015-02-25,30000
2015-03-25,30000
2015-04-27,30000
2015-05-25,30000
2015-06-25,30000
2015-07-27,30000
2015-08-25,30000
2015-09-28,30000
2015-10-26,30000
2015-11-26,30000
2015-12-28,30000
2016-01-25,30000
2016-02-25,30000
2016-03-28,30000
2016-04-25,30000
2016-05-25,30000
2016-06-27,30000
2016-07-25,30000
2016-08-25,30000
2016-09-26,30000
2016-10-25,30000
2016-11-25,30000
2016-12-26,30000
2017-01-25,30000
2017-02-27,30000
2017-03-27,30000
2017-04-25,30000
2017-05-25,30000
2017-06-27,30000
2017-07-25,30000
2017-08-28,30000
2017-09-25,30000
2017-10-25,30000
2017-11-27,30000
2017-12-26,30000
2018-01-25,30000
2018-02-26,30000
2018-03-26,30000
2018-04-25,30000
2018-05-25,30000
2018-06-25,30000
2018-07-25,30000
2018-08-27,30000
2018-09-25,30000
2018-10-25,30000
2018-11-26,30000
2018-12-26,30000
2019-01-25,30000
2019-02-25,30000
2019-03-25,30000
2019-04-25,30000
2019-05-27,30000
2019-06-25,30000
2019-07-25,30000
2019-08-26,30000
2019-09-25,30000
2019-10-25,30000
2019-11-25,30000
2019-12-26,30000
2020-01-27,30000
2020-02-25,30000
2020-03-25,30000
2020-04-27,30000
2020-05-26,30000
2020-06-25,30000
2020-07-27,30000
2020-08-25,30000
2020-09-25,30000
2020-10-26,30000
2020-11-25,30000
2020-12-28,30000
2021-01-25,30000
2021-02-25,30000
2021-03-25,30000
2021-04-26,30000
2021-05-25,30000
2021-06-25,30000
2021-07-26,30000
2021-08-25,30000
2021-09-27,30000
2021-10-25,30000
2021-11-25,30000
2021-12-27,30000
2022-01-25,30000
2022-02-25,30000
2022-03-25,30000
2022-04-25,30000
2022-05-25,30000
2022-06-27,30000
2022-07-25,30000
2022-08-25,30000
2022-09-26,30000
2022-10-25,30000
2022-11-25,30000
2022-12-26,30000
2023-01-25,30000
2023-02-27,30000
2023-03-27,30000
2023-04-25,30000
2023-05-25,30000
2023-06-26,30000
2023-07-25,30000
2023-08-25,30000
2023-09-25,30000
2023-10-25,30000
2023-11-28,30000
2023-12-26,30000
2024-01-25,30000
2024-02-26,30000
2024-03-26,30000
2024-04-25,30000
2024-05-27,30000
2024-06-25,30000
2024-07-25,30000
2024-08-26,30000
,30000
