Date,Investment
2014-10-17,30000
2014-11-17,30000
2014-12-17,30000
2015-01-17,30000
2015-02-17,30000
2015-03-17,30000
2015-04-17,30000
2015-05-17,30000
2015-06-17,30000
2015-07-17,30000
2015-08-17,30000
2015-09-17,30000
2015-10-17,30000
2015-11-17,30000
2015-12-17,30000
2016-01-17,30000
2016-02-17,30000
2016-03-17,30000
2016-04-17,30000
2016-05-17,30000
2016-06-17,30000
2016-07-17,30000
2016-08-17,30000
2016-09-17,30000
2016-10-17,30000
2016-11-17,30000
2016-12-17,30000
2017-01-17,30000
2017-02-17,30000
2017-03-17,30000
2017-04-17,30000
2017-05-17,30000
2017-06-17,30000
2017-07-17,30000
2017-08-17,30000
2017-09-17,30000
2017-10-17,30000
2017-11-17,30000
2017-12-17,30000
2018-01-17,30000
2018-02-17,30000
2018-03-17,30000
2018-04-17,30000
2018-05-17,30000
2018-06-17,30000
2018-07-17,30000
2018-08-17,30000
2018-09-17,30000
2018-10-17,30000
2018-11-17,30000
2018-12-17,30000
2019-01-17,30000
2019-02-17,30000
2019-03-17,30000
2019-04-17,30000
2019-05-17,30000
2019-06-17,30000
2019-07-17,30000
2019-08-17,30000
2019-09-17,30000
2019-10-17,30000
2019-11-17,30000
2019-12-17,30000
2020-01-17,30000
2020-02-17,30000
2020-03-17,30000
2020-04-17,30000
2020-05-17,30000
2020-06-17,30000
2020-07-17,30000
2020-08-17,30000
2020-09-17,30000
2020-10-17,30000
2020-11-17,30000
2020-12-17,30000
2021-01-17,30000
2021-02-17,30000
2021-03-17,30000
2021-04-17,30000
2021-05-17,30000
2021-06-17,30000
2021-07-17,30000
2021-08-17,30000
2021-09-17,30000
2021-10-17,30000
2021-11-17,30000
2021-12-17,30000
2022-01-17,30000
2022-02-17,30000
2022-03-17,30000
2022-04-17,30000
2022-05-17,30000
2022-06-17,30000
2022-07-17,30000
2022-08-17,30000
2022-09-17,30000
2022-10-17,30000
2022-11-17,30000
2022-12-17,30000
2023-01-17,30000
2023-02-17,30000
2023-03-17,30000
2023-04-17,30000
2023-05-17,30000
2023-06-17,30000
2023-07-17,30000
2023-08-17,30000
2023-09-17,30000
2023-10-17,30000
2023-11-17,30000
2023-12-17,30000
2024-01-17,30000
2024-02-17,30000
2024-03-17,30000
2024-04-17,30000
2024-05-17,30000
2024-06-17,30000
2024-07-17,30000
2024-08-17,30000
2024-09-17,30000
